,graph,shift_list_actual,GEPA shift_list_estimated, EPA shift_list_estimated,EPA_LW shift_list_estimated,RI shift_list_estimated,DA shift_list_estimated,MDL shift_list_estimated,PBSI shift_list_estimated
182,Labeled_UG_IG_GraphInfo 5 1336388432482938880 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
183,Labeled_UG_IG_GraphInfo 51 1339698705679659012 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
184,Labeled_UG_IG_GraphInfo 52 1339747905427554304 .txt.RData.RData.RData,1,1,0,0,0,1,3,2
185,Labeled_UG_IG_GraphInfo 53 1339014839704817664 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
186,Labeled_UG_IG_GraphInfo 54 1338936724957880323 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
187,Labeled_UG_IG_GraphInfo 55 1338930045172277252 .txt.RData.RData.RData,0,0,0,0,0,2,2,0
188,Labeled_UG_IG_GraphInfo 56 1338874919954706432 .txt.RData.RData.RData,1,0,0,0,0,0,1,0
189,Labeled_UG_IG_GraphInfo 57 1338869048059326470 .txt.RData.RData.RData,0,0,0,0,0,0,1,1
190,Labeled_UG_IG_GraphInfo 58 1338868418431217667 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
191,Labeled_UG_IG_GraphInfo 59 1338864716190347264 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
192,Labeled_UG_IG_GraphInfo 6 1336705420946239489 .txt.RData.RData.RData,3,0,0,0,0,3,3,6
193,Labeled_UG_IG_GraphInfo 60 1338859039585812481 .txt.RData.RData.RData,1,1,0,0,0,1,3,2
194,Labeled_UG_IG_GraphInfo 61 1338986928675274753 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
195,Labeled_UG_IG_GraphInfo 62 1338853312268034050 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
196,Labeled_UG_IG_GraphInfo 63 1336713313238081544 .txt.RData.RData.RData,0,1,0,0,0,0,2,1
197,Labeled_UG_IG_GraphInfo 64 1336862884584886275 .txt.RData.RData.RData,0,0,0,0,0,1,3,2
198,Labeled_UG_IG_GraphInfo 65 1331169718930182144 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
199,Labeled_UG_IG_GraphInfo 66 1331154642789515264 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
200,Labeled_UG_IG_GraphInfo 67 1329108500845367304 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
201,Labeled_UG_IG_GraphInfo 68 1328905579243290625 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
202,Labeled_UG_IG_GraphInfo 69 1328734969703899136 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
203,Labeled_UG_IG_GraphInfo 7 1336839626577891328 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
204,Labeled_UG_IG_GraphInfo 70 1329375430395179009 .txt.RData.RData.RData,0,0,0,0,0,2,2,0
205,Labeled_UG_IG_GraphInfo 71 1329124299647684608 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
206,Labeled_UG_IG_GraphInfo 72 1332219780686725121 .txt.RData.RData.RData,0,0,0,0,0,0,4,3
207,Labeled_UG_IG_GraphInfo 73 1331645951530979329 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
208,Labeled_UG_IG_GraphInfo 74 1327226776083456000 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
209,Labeled_UG_IG_GraphInfo 75 1326963149296300035 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
210,Labeled_UG_IG_GraphInfo 76 1337729660789067778 .txt.RData.RData.RData,2,2,0,0,0,1,3,2
211,Labeled_UG_IG_GraphInfo 77 1338857976250056704 .txt.RData.RData.RData,1,1,0,0,0,0,3,2
212,Labeled_UG_IG_GraphInfo 78 1338172697818370051 .txt.RData.RData.RData,1,3,0,0,0,4,5,4
213,Labeled_UG_IG_GraphInfo 79 1298465734272614400 .txt.RData.RData.RData,0,0,0,0,0,0,3,2
214,Labeled_UG_IG_GraphInfo 80 1297558150506323976 .txt.RData.RData.RData,1,0,0,0,0,0,2,1
215,Labeled_UG_IG_GraphInfo 81 1293622883072094209 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
216,Labeled_UG_IG_GraphInfo 82 1293951475018735618 .txt.RData.RData.RData,1,0,0,0,0,1,2,1
217,Labeled_UG_IG_GraphInfo 83 1293643521413525506 .txt.RData.RData.RData,0,1,0,0,0,0,1,1
218,Labeled_UG_IG_GraphInfo 84 1337509807402725377 .txt.RData.RData.RData,1,1,0,0,0,1,4,3
219,Labeled_UG_IG_GraphInfo 85 1339716302051680263 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
220,Labeled_UG_IG_GraphInfo 86 1338739261974196225 .txt.RData.RData.RData,8,1,0,0,0,13,16,15
221,Labeled_UG_IG_GraphInfo 87 1338827577667035143 .txt.RData.RData.RData,2,0,0,0,0,12,12,11
222,Labeled_UG_IG_GraphInfo 88 1339690025022337032 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
223,Labeled_UG_IG_GraphInfo 89 1339799695636381696 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
224,Labeled_UG_IG_GraphInfo 9 1336844877347266560 .txt.RData.RData.RData,1,1,0,0,0,1,4,3
225,Labeled_UG_IG_GraphInfo 90 1339620539867009024 .txt.RData.RData.RData,0,1,0,0,0,0,2,2
226,Labeled_UG_IG_GraphInfo 91 1339617443208052738 .txt.RData.RData.RData,1,1,0,0,0,1,3,2
227,Labeled_UG_IG_GraphInfo 92 1339606104016379905 .txt.RData.RData.RData,1,1,0,0,0,1,2,1
228,Labeled_UG_IG_GraphInfo 93 1339601213294309376 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
229,Labeled_UG_IG_GraphInfo 94 1339612730735480832 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
230,Labeled_UG_IG_GraphInfo 95 1339600610920939520 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
231,Labeled_UG_IG_GraphInfo 96 1339600070602153987 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
232,Labeled_UG_IG_GraphInfo 97 1339731265965199363 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
233,Labeled_UG_IG_GraphInfo 98 1339611493562642433 .txt.RData.RData.RData,0,0,0,0,0,1,2,0
234,Labeled_UG_IG_GraphInfo 99 1339606718003736577 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
