"sourceID"	"targetID"	"sourceUN"	"targetUN"
"899524315"	"97161136"	"veitera"	"jukkalindstrom"
"899524315"	"874991961933066240"	"veitera"	"kasvismafioso"
"899524315"	"1199041574774222848"	"veitera"	"Tepozkius"
"899524315"	"3092677355"	"veitera"	"Vapaamielinen"
"899524315"	"246374780"	"veitera"	"petripusa"
"899524315"	"27677091"	"veitera"	"suonpaa"
"899524315"	"781086576"	"veitera"	"JoelRouvinen"
"899524315"	"2373882424"	"veitera"	"VSaarenketo"
"899524315"	"137621147"	"veitera"	"petricederlof"
"899524315"	"320116409"	"veitera"	"panuraatikainen"
"899524315"	"62264590"	"veitera"	"jmkorhonen"
"899524315"	"273930004"	"veitera"	"MinnaKarhunen"
"899524315"	"2643647806"	"veitera"	"TuulaTakk"
"899524315"	"1231167575045832704"	"veitera"	"ReneSeta"
"899524315"	"50666326"	"veitera"	"panuhoglund"
"97161136"	"874991961933066240"	"jukkalindstrom"	"kasvismafioso"
"97161136"	"47882211"	"jukkalindstrom"	"TakaloJuho"
"97161136"	"1199041574774222848"	"jukkalindstrom"	"Tepozkius"
"97161136"	"3092677355"	"jukkalindstrom"	"Vapaamielinen"
"97161136"	"2769822339"	"jukkalindstrom"	"sekoomus"
"97161136"	"246374780"	"jukkalindstrom"	"petripusa"
"97161136"	"407049418"	"jukkalindstrom"	"salum_AR"
"97161136"	"27677091"	"jukkalindstrom"	"suonpaa"
"97161136"	"2373882424"	"jukkalindstrom"	"VSaarenketo"
"97161136"	"137621147"	"jukkalindstrom"	"petricederlof"
"97161136"	"1039571411881349120"	"jukkalindstrom"	"ArtoLehikoinen"
"97161136"	"320116409"	"jukkalindstrom"	"panuraatikainen"
"97161136"	"62264590"	"jukkalindstrom"	"jmkorhonen"
"97161136"	"91864558"	"jukkalindstrom"	"sarirautio"
"97161136"	"273930004"	"jukkalindstrom"	"MinnaKarhunen"
"97161136"	"899524315"	"jukkalindstrom"	"veitera"
"97161136"	"1231167575045832704"	"jukkalindstrom"	"ReneSeta"
"97161136"	"50666326"	"jukkalindstrom"	"panuhoglund"
"874991961933066240"	"3092677355"	"kasvismafioso"	"Vapaamielinen"
"874991961933066240"	"2769822339"	"kasvismafioso"	"sekoomus"
"874991961933066240"	"407049418"	"kasvismafioso"	"salum_AR"
"874991961933066240"	"684923"	"kasvismafioso"	"neoex"
"874991961933066240"	"27677091"	"kasvismafioso"	"suonpaa"
"874991961933066240"	"2373882424"	"kasvismafioso"	"VSaarenketo"
"874991961933066240"	"320116409"	"kasvismafioso"	"panuraatikainen"
"874991961933066240"	"62264590"	"kasvismafioso"	"jmkorhonen"
"874991961933066240"	"899524315"	"kasvismafioso"	"veitera"
"874991961933066240"	"50666326"	"kasvismafioso"	"panuhoglund"
"47882211"	"320116409"	"TakaloJuho"	"panuraatikainen"
"47882211"	"62264590"	"TakaloJuho"	"jmkorhonen"
"1199041574774222848"	"320116409"	"Tepozkius"	"panuraatikainen"
"1199041574774222848"	"62264590"	"Tepozkius"	"jmkorhonen"
"1199041574774222848"	"899524315"	"Tepozkius"	"veitera"
"3092677355"	"2769822339"	"Vapaamielinen"	"sekoomus"
