"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"109309136"	"1238070348677070848"	"Gob_eus"	2020-03-12 17:22:28
"2348657678"	"1238141856258707459"	"UGLEskola"	2020-03-12 22:06:36
"1311072402"	"1238109062140739586"	"ccarbonellr"	2020-03-12 19:56:18
"1175605252051079170"	"1238104767097966595"	"ElenaSinH5"	2020-03-12 19:39:14
"954830402241384448"	"1238096791243030529"	"PepitaJ39978396"	2020-03-12 19:07:32
"60595464"	"1238094407972335617"	"condesitadeirun"	2020-03-12 18:58:04
"403273981"	"1238094375663566848"	"fpbidasoa"	2020-03-12 18:57:56
"534857422"	"1238094107567886337"	"aarranzcad"	2020-03-12 18:56:52
"1064637356542763009"	"1238092058293932042"	"Mariadel_HE"	2020-03-12 18:48:43
"1143195621500817410"	"1238092006599131139"	"pimpilimpausak"	2020-03-12 18:48:31
"1002624060386435072"	"1238091767582515202"	"HablamosE"	2020-03-12 18:47:34
"1195452442080661504"	"1238088673159249920"	"aanthoonyy2"	2020-03-12 18:35:16
"959393019584765953"	"1238085415476879361"	"FEFMONT_"	2020-03-12 18:22:20
"800724314173517825"	"1238081644994625536"	"GamerlanYT"	2020-03-12 18:07:21
"384782485"	"1238077269714841601"	"Miguel_Altuna"	2020-03-12 17:49:58
"2793806189"	"1238076259868999680"	"pequetras"	2020-03-12 17:45:57
"272643242"	"1238074767141416960"	"cotovo"	2020-03-12 17:40:01
"205727445"	"1238072613689331714"	"calonsonet"	2020-03-12 17:31:28
"384313954"	"1238071492430237697"	"Montimer94"	2020-03-12 17:27:00
"288223345"	"1238071373257465856"	"arratetxuriurdi"	2020-03-12 17:26:32
"168535870"	"1238071320040046592"	"amai_txiki"	2020-03-12 17:26:19
