"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"36635596"	"1233169609630588928"	"Jim_Sheridan"	2020-02-28 04:48:40
"125134811"	"1235540959636553728"	"Annthippe"	2020-03-05 17:51:34
"132265011"	"1234816694750715904"	"VergeOfPurge"	2020-03-03 17:53:36
"310215406"	"1234579840227037186"	"HelenSteeleFash"	2020-03-03 02:12:25
"1154358672056836097"	"1233841443011203079"	"Foxburg"	2020-03-01 01:18:18
"182036276"	"1233776883935907840"	"Maryaclare"	2020-02-29 21:01:46
"2725739707"	"1233770374032248834"	"PCole1234"	2020-02-29 20:35:54
"2380134001"	"1233754633606180865"	"Aqua1Azul"	2020-02-29 19:33:21
"991089363487526915"	"1233479932916981760"	"Samwil226hotma1"	2020-02-29 01:21:47
"316939900"	"1233466022272946178"	"DaraHogan"	2020-02-29 00:26:31
"716382823507165184"	"1233454445280841729"	"HeloisePatricia"	2020-02-28 23:40:30
"32109224"	"1233441907231141889"	"genorese"	2020-02-28 22:50:41
"44965780"	"1233437021793923079"	"patrickmboyle"	2020-02-28 22:31:16
"3247536803"	"1233436501779894274"	"BakirGhb"	2020-02-28 22:29:12
"47579273"	"1233424053232422922"	"JohnJoedotcom"	2020-02-28 21:39:44
"21182172"	"1233419189286817792"	"dazmoriarty"	2020-02-28 21:20:25
"258768180"	"1233415333383462914"	"AineNicOisin"	2020-02-28 21:05:05
"23422948"	"1233388917082161152"	"sandiroe"	2020-02-28 19:20:07
"819873588308275200"	"1233377663651393537"	"DermotFoley6"	2020-02-28 18:35:24
"281740624"	"1233376652710817792"	"Glic16"	2020-02-28 18:31:23
"247307380"	"1233326294114488322"	"KillarneyKnight"	2020-02-28 15:11:17
"210777087"	"1233310946489241601"	"MsFrugalone"	2020-02-28 14:10:18
"3047538243"	"1233310901559795712"	"cncpinky"	2020-02-28 14:10:07
"50419434"	"1233308199824117761"	"shazm0"	2020-02-28 13:59:23
"283612774"	"1233304607306199040"	"Showofstrength"	2020-02-28 13:45:06
"370632885"	"1233304135245672449"	"MediaWiseMJ"	2020-02-28 13:43:14
"266710229"	"1233303357869170688"	"arlenegaughan"	2020-02-28 13:40:08
"358983987"	"1233299860301938688"	"bernardoshea1"	2020-02-28 13:26:14
"2766778483"	"1233298881703809024"	"MCOR1963"	2020-02-28 13:22:21
"37384635"	"1233294315318890496"	"babsbear"	2020-02-28 13:04:12
"23595091"	"1233290629783937024"	"MazzyK"	2020-02-28 12:49:34
"246342981"	"1233272665219063809"	"GordonW25"	2020-02-28 11:38:11
"1975534376"	"1233227493433319430"	"joemacsitric"	2020-02-28 08:38:41
"405170886"	"1233209775233564673"	"Ogie_Halfhand"	2020-02-28 07:28:17
"26246157"	"1233204821337034752"	"nessymon"	2020-02-28 07:08:35
"187182230"	"1233194112125407239"	"muckywomanfish"	2020-02-28 06:26:02
"4854822338"	"1233193484003217409"	"lovealaska1105"	2020-02-28 06:23:32
"626682905"	"1233192044329345026"	"andreakirwan"	2020-02-28 06:17:49
"33507131"	"1233191794604679168"	"susanokeeffe"	2020-02-28 06:16:50
"763894679440064512"	"1233191789663789056"	"maccadoo8"	2020-02-28 06:16:48
"15919849"	"1233191305657901056"	"Gary_In_D13"	2020-02-28 06:14:53
"239067644"	"1233188923784024066"	"donegalclaret"	2020-02-28 06:05:25
"2541071229"	"1233185896297570306"	"NickCotterSr"	2020-02-28 05:53:23
"383812326"	"1233183946193633280"	"Mr_NME"	2020-02-28 05:45:38
"79769477"	"1233183555175505920"	"camcruise"	2020-02-28 05:44:05
"21862233"	"1233177554984546304"	"kendunne76"	2020-02-28 05:20:15
"275005312"	"1233177336847257601"	"gfm101"	2020-02-28 05:19:23
"885935266233548800"	"1233175719288676354"	"berkieahern2"	2020-02-28 05:12:57
"6073052"	"1233175455601131521"	"RTS_Gamer321098"	2020-02-28 05:11:54
"571557860"	"1233175062460665858"	"wueldekum1"	2020-02-28 05:10:20
"701698122"	"1233173938441793542"	"bberrybeth365"	2020-02-28 05:05:52
"2252207954"	"1233173437998411777"	"numoorepain"	2020-02-28 05:03:53
"217089017"	"1233173253239300096"	"setdance"	2020-02-28 05:03:09
"283214565"	"1233172159230566402"	"franklarkin18"	2020-02-28 04:58:48
"252591743"	"1233171982725808129"	"amomcnally"	2020-02-28 04:58:06
"224820912"	"1233171930762633217"	"geoffboyle"	2020-02-28 04:57:54
"222640627"	"1233171499227525122"	"hedgehogogg"	2020-02-28 04:56:11
"743833403947102208"	"1233171464788070409"	"drjessshinecork"	2020-02-28 04:56:03
"575719338"	"1233171331530838017"	"Ireland1973Lisa"	2020-02-28 04:55:31
"18363234"	"1233171098201665536"	"appleblossomBe"	2020-02-28 04:54:35
"90128421"	"1233170457634988033"	"HazelKLarkin"	2020-02-28 04:52:02
"356942099"	"1233170130688970753"	"FionaDoris"	2020-02-28 04:50:45
"416659435"	"1233169871434895360"	"jackislander"	2020-02-28 04:49:43
"31873827"	"1233169796142899200"	"Pajosmashup"	2020-02-28 04:49:25
