"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"973271407391100928"	"1256642160180559872"	"timothy_gumm"	2020-05-02 23:20:12
"17836135"	"1264918625946927119"	"BrianUkulele"	2020-05-25 19:27:56
"848357257150648320"	"1258001894288564225"	"IncaOrchidLove"	2020-05-06 17:23:18
"3022862503"	"1257419360093814785"	"comms24_c24"	2020-05-05 02:48:31
"346111367"	"1257331172876697601"	"EvaBrown11"	2020-05-04 20:58:06
"438848563"	"1257256633027244033"	"TweeterLE2012"	2020-05-04 16:01:54
"993961088"	"1257148764030152704"	"HildCs"	2020-05-04 08:53:16
"938901218029694976"	"1257118379908964353"	"SCgirlinGAworld"	2020-05-04 06:52:32
"2513435397"	"1257113068301156354"	"Love_America2"	2020-05-04 06:31:26
"954835223300182017"	"1257112484802170880"	"Keith4Change"	2020-05-04 06:29:07
"1253163411489222657"	"1257110592432685056"	"EllePea10"	2020-05-04 06:21:35
"1121993177274171392"	"1257109649976971275"	"kb2397079611"	2020-05-04 06:17:51
"233143235"	"1257102590904500226"	"EReldeonk"	2020-05-04 05:49:48
"20486061"	"1257075179450179584"	"jon_a_glenn"	2020-05-04 04:00:52
"302291628"	"1257075128090804226"	"LA_Latingirl"	2020-05-04 04:00:40
"843135629638680576"	"1257065692576317441"	"ettienne70"	2020-05-04 03:23:10
"3774276143"	"1257057031912972290"	"1RealBenito"	2020-05-04 02:48:46
"817537386"	"1257043047168147456"	"GEOFFREYNS"	2020-05-04 01:53:11
"3227346834"	"1257041075132342272"	"Jeff46686993"	2020-05-04 01:45:21
"16614313"	"1257031366677422082"	"CherylinMass"	2020-05-04 01:06:46
"2409451987"	"1257017936608464896"	"mccunecicki"	2020-05-04 00:13:25
"431243129"	"1257017742399504388"	"RodgerVarley"	2020-05-04 00:12:38
"210864904"	"1257010826445230080"	"BigpapiHT"	2020-05-03 23:45:09
"21095543"	"1257010748687089674"	"user239956"	2020-05-03 23:44:51
"1031777041354379264"	"1257003202534232064"	"JamesonHalpern"	2020-05-03 23:14:52
"1051959320286568451"	"1256995013629751297"	"vivianfarley53"	2020-05-03 22:42:19
"1172686008657305600"	"1256988737873104900"	"Noel16639478"	2020-05-03 22:17:23
"825876614"	"1256988715362091013"	"MamaColandene"	2020-05-03 22:17:18
"2901824044"	"1256987927621623808"	"realcaddytc"	2020-05-03 22:14:10
"381858912"	"1256987251873124353"	"Civil_war_elect"	2020-05-03 22:11:29
"1254149646928183296"	"1256987227969724417"	"CMoses10380708"	2020-05-03 22:11:23
"890308647536005126"	"1256984879801208833"	"MWhalen1907"	2020-05-03 22:02:03
"1641077791"	"1256984330779291648"	"Maximus7799"	2020-05-03 21:59:52
"1183843617095467008"	"1256982259955052547"	"Katie31382922"	2020-05-03 21:51:39
"252822864"	"1256980586218106880"	"halemaryTN"	2020-05-03 21:44:59
"484931621"	"1256979098737553409"	"TomYork316"	2020-05-03 21:39:05
"4851562701"	"1256978434011598853"	"slh2813"	2020-05-03 21:36:26
"786363332"	"1256974875945603072"	"monalisaveritas"	2020-05-03 21:22:18
"1576434330"	"1256972738591326209"	"Kimmerztweets"	2020-05-03 21:13:48
"831597414263844864"	"1256970630798340096"	"JuneSmith888"	2020-05-03 21:05:26
"968942893259001857"	"1256731847754764290"	"Steve73058868"	2020-05-03 05:16:36
"780285253201952768"	"1256670911899611136"	"lyle_laser"	2020-05-03 01:14:27
"2847948921"	"1256667671141253121"	"christiankingo1"	2020-05-03 01:01:35
"865225293841158145"	"1256660416106622976"	"Barbaren7"	2020-05-03 00:32:45
"1221963833700429825"	"1256652410535239681"	"Linda39125805"	2020-05-03 00:00:56
"821021946284560386"	"1256646666364608512"	"argounova"	2020-05-02 23:38:07
