"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"943502960897564672"	"1247030383327064064"	"SachinYadavRJD"	2020-04-06 10:46:26
"1238062274117545985"	"1247106653184548864"	"Vikash69548895"	2020-04-06 15:49:30
"976738654453297162"	"1247096295996526592"	"Rajabhaiya9999"	2020-04-06 15:08:21
"969084461320155136"	"1247065343144497153"	"RanjishYadav"	2020-04-06 13:05:21
"1065175396289789952"	"1247064148032225280"	"Palak30504317"	2020-04-06 13:00:36
"1117451370859311104"	"1247050411564912641"	"Anupriyatiwar12"	2020-04-06 12:06:01
"617171905"	"1247043226881662979"	"JAIRAMKHEMKA"	2020-04-06 11:37:28
"1099211207431512065"	"1247039621331963906"	"rjdpappuyadav"	2020-04-06 11:23:09
"1464554575"	"1247039519041314823"	"pushpendra4You"	2020-04-06 11:22:44
"1067739791213690880"	"1247039254103904258"	"AmitKum58416572"	2020-04-06 11:21:41
"1186165297780150273"	"1247036788419387392"	"KingAbhi144"	2020-04-06 11:11:53
"358250454"	"1247036611868549121"	"RajaSinghK"	2020-04-06 11:11:11
"1208660621220122625"	"1247036426274955265"	"DevKuma43943937"	2020-04-06 11:10:27
"2534074718"	"1247036375133753344"	"HarishK04131926"	2020-04-06 11:10:15
"1183963069631696899"	"1247034727942344704"	"Mahendra_C1993"	2020-04-06 11:03:42
"1196415176888729602"	"1247034671109566464"	"Neeraj____Patel"	2020-04-06 11:03:29
"1367602410"	"1247034045889794050"	"gurumana"	2020-04-06 11:00:59
"1451213641"	"1247033430979694592"	"rameshprasad75"	2020-04-06 10:58:33
"3018239012"	"1247033397899218944"	"yadavrahul6474"	2020-04-06 10:58:25
"1243554251554426880"	"1247033355201175554"	"NavnitK41291744"	2020-04-06 10:58:15
"1217166113533919232"	"1247033132588523523"	"ManishS80590326"	2020-04-06 10:57:22
"2315207906"	"1247033088347004928"	"rajeshk93096704"	2020-04-06 10:57:11
"793310876535140352"	"1247032266527657985"	"rohit314338"	2020-04-06 10:53:55
"2728364632"	"1247031990416596993"	"ImAjha97"	2020-04-06 10:52:49
"85462891"	"1247031690121232385"	"TajinderBagga"	2020-04-06 10:51:38
