"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"969005553107329027"	"1233505993197314048"	"MariaesPueblo"	2020-02-29 03:05:20
"139612917"	"1296338117520171009"	"ubvsmatrix"	2020-08-20 12:17:46
"1015291804596559873"	"1294710774200520704"	"Charod8581"	2020-08-16 00:31:17
"116872363"	"1294656652101255169"	"pepinos37"	2020-08-15 20:56:14
"116872363"	"1242792989723942913"	"pepinos37"	2020-03-25 18:08:33
"326223291"	"1294465223307427840"	"CarLongart"	2020-08-15 08:15:33
"240365710"	"1283571973759655937"	"LuisVota53"	2020-07-16 06:49:40
"551297027"	"1267447142647554048"	"mariatiza"	2020-06-01 18:55:21
"1015341977829769221"	"1243208471287410689"	"Chatarro2"	2020-03-26 21:39:31
"1216139264196562944"	"1242912151507013633"	"roraima35468445"	2020-03-26 02:02:03
"2388130818"	"1242759102264156161"	"SuenosDeNacion"	2020-03-25 15:53:53
"140705244"	"1242757834103816196"	"PatriotaCombate"	2020-03-25 15:48:51
"226750589"	"1242678431256584197"	"MelbaLSV10"	2020-03-25 10:33:20
"179262112"	"1242671043216642048"	"ANTONIOVOLPE1"	2020-03-25 10:03:59
"2322318902"	"1242667088273190913"	"wagudelo15"	2020-03-25 09:48:16
"570212667"	"1242663731005394945"	"escalimetro56"	2020-03-25 09:34:55
"141734871"	"1242662938126757889"	"ERMONTENEGRO"	2020-03-25 09:31:46
"969005553107329027"	"1242662504469352449"	"MariaesPueblo"	2020-03-25 09:30:03
"3338790431"	"1234741852487725057"	"GuiaTiempoLibre"	2020-03-03 12:56:12
"858774745009065984"	"1233570613995941894"	"Abogado1V"	2020-02-29 07:22:07
"138222386"	"1233569608155705344"	"wladapalsilva"	2020-02-29 07:18:07
"297546939"	"1233569125491990528"	"richiie52"	2020-02-29 07:16:12
"458981131"	"1233569066281054210"	"hyrumfive"	2020-02-29 07:15:58
"229298434"	"1233567480565653507"	"jaguellon"	2020-02-29 07:09:40
"1159833709173862400"	"1233567204060356609"	"Deyanir60453119"	2020-02-29 07:08:34
"3306066586"	"1233565610988244993"	"alejolucangeli"	2020-02-29 07:02:14
"1416699744"	"1233560373133008896"	"electron52"	2020-02-29 06:41:26
"187313597"	"1233557569647583233"	"LJNP75"	2020-02-29 06:30:17
"831528751636836352"	"1233557222527053824"	"robertojironle1"	2020-02-29 06:28:54
