"sourceID"	"targetID"	"sourceUN"	"targetUN"
"46808996"	"63786037"	"Doodisgirl"	"sherze1"
"46808996"	"908848069525098498"	"Doodisgirl"	"Janethecrusader"
"46808996"	"744493525094432768"	"Doodisgirl"	"tonydasit1"
"46808996"	"823620453516374016"	"Doodisgirl"	"deplorableblond"
"46808996"	"1235929870334660608"	"Doodisgirl"	"Aceon6Aceon"
"46808996"	"4386338182"	"Doodisgirl"	"chrisroxx22"
"46808996"	"759823466308603904"	"Doodisgirl"	"B1_4Change"
"46808996"	"1148334757228568576"	"Doodisgirl"	"McwhirterDiana"
"46808996"	"784761251150692357"	"Doodisgirl"	"meppenbrock"
"46808996"	"934463078913024006"	"Doodisgirl"	"glenn_cantwell"
"46808996"	"189133039"	"Doodisgirl"	"RealityExempt"
"46808996"	"276897421"	"Doodisgirl"	"8chantruth"
"46808996"	"971132121069875201"	"Doodisgirl"	"br41806241"
"46808996"	"1246647487"	"Doodisgirl"	"mohamin34"
"46808996"	"41710264"	"Doodisgirl"	"wallybert"
"46808996"	"730603755859787776"	"Doodisgirl"	"milliganjoey54"
"46808996"	"856945495280898049"	"Doodisgirl"	"Norforsythhomes"
"46808996"	"23930264"	"Doodisgirl"	"Deplorable22"
"46808996"	"1038574930126942209"	"Doodisgirl"	"lesagre66751588"
"46808996"	"3306173819"	"Doodisgirl"	"dontcavitate"
"46808996"	"1241177892266086400"	"Doodisgirl"	"LeonMcC45396167"
"46808996"	"131126639"	"Doodisgirl"	"Gandalf1948"
"78204640"	"1193572973569069056"	"TheHollyLyons"	"haze_kl3"
"1193572973569069056"	"971132121069875201"	"haze_kl3"	"br41806241"
"908848069525098498"	"759823466308603904"	"Janethecrusader"	"B1_4Change"
"908848069525098498"	"971132121069875201"	"Janethecrusader"	"br41806241"
"908848069525098498"	"1038574930126942209"	"Janethecrusader"	"lesagre66751588"
"908848069525098498"	"3306173819"	"Janethecrusader"	"dontcavitate"
"744493525094432768"	"759823466308603904"	"tonydasit1"	"B1_4Change"
"759823466308603904"	"2920231927"	"B1_4Change"	"4622storerave"
"759823466308603904"	"3306173819"	"B1_4Change"	"dontcavitate"
"2920231927"	"1204253484649865216"	"4622storerave"	"TrumpWarrior8"
"2920231927"	"730603755859787776"	"4622storerave"	"milliganjoey54"
"1148334757228568576"	"276897421"	"McwhirterDiana"	"8chantruth"
"1265497683348852737"	"1204253484649865216"	"JagoeCalhoun"	"TrumpWarrior8"
"934463078913024006"	"989502160118394882"	"glenn_cantwell"	"Deana24738391"
"989502160118394882"	"1204253484649865216"	"Deana24738391"	"TrumpWarrior8"
"1204253484649865216"	"703317145200025600"	"TrumpWarrior8"	"deronda_sears"
"703317145200025600"	"971132121069875201"	"deronda_sears"	"br41806241"
"1246647487"	"730603755859787776"	"mohamin34"	"milliganjoey54"
