"sourceID"	"targetID"	"sourceUN"	"targetUN"
"2573925348"	"300732862"	"nancyleeca"	"JamesGuatlo"
"2573925348"	"1146478009"	"nancyleeca"	"OU_KAG"
"2573925348"	"525557014"	"nancyleeca"	"RedSnapper2017"
"2573925348"	"2605774730"	"nancyleeca"	"JaguarJinx"
"2573925348"	"799111347111751680"	"nancyleeca"	"cjdtwit"
"2573925348"	"708838439"	"nancyleeca"	"Juliananana1"
"2573925348"	"106705429"	"nancyleeca"	"kralovacz"
"2573925348"	"1298043420783415296"	"nancyleeca"	"Somewhe25118085"
"2573925348"	"1100907013029027840"	"nancyleeca"	"ThuyPha15641794"
"2573925348"	"2950103415"	"nancyleeca"	"AnBeOnd"
"2573925348"	"923644614321541122"	"nancyleeca"	"LoverOfPups777"
"2573925348"	"1045424510353182727"	"nancyleeca"	"Trump_Girl_USA"
"2573925348"	"925072203267432448"	"nancyleeca"	"PatriotPennsy"
"2573925348"	"88524858"	"nancyleeca"	"Slady1234"
"2573925348"	"1076709293267783680"	"nancyleeca"	"realNick_777"
"2573925348"	"780154419186982912"	"nancyleeca"	"AlwaystrumpOrg"
"2573925348"	"466789572"	"nancyleeca"	"MissILmom"
"2573925348"	"783716692664791040"	"nancyleeca"	"PraiseInHisName"
"2573925348"	"1204649413"	"nancyleeca"	"CGLKag"
"2573925348"	"823031613583921152"	"nancyleeca"	"liltnDeplorable"
"2573925348"	"822711883736068097"	"nancyleeca"	"VFrankenstein76"
"2573925348"	"2219039905"	"nancyleeca"	"RealLPoslaiko"
"2573925348"	"499460056"	"nancyleeca"	"drag0nmaster17"
"2573925348"	"705196121363243008"	"nancyleeca"	"judydock"
"300732862"	"1146478009"	"JamesGuatlo"	"OU_KAG"
"300732862"	"799111347111751680"	"JamesGuatlo"	"cjdtwit"
"300732862"	"2950103415"	"JamesGuatlo"	"AnBeOnd"
"300732862"	"1045424510353182727"	"JamesGuatlo"	"Trump_Girl_USA"
"300732862"	"925072203267432448"	"JamesGuatlo"	"PatriotPennsy"
"300732862"	"1076709293267783680"	"JamesGuatlo"	"realNick_777"
"300732862"	"466789572"	"JamesGuatlo"	"MissILmom"
"300732862"	"4843370844"	"JamesGuatlo"	"edngai078_ni"
"300732862"	"783716692664791040"	"JamesGuatlo"	"PraiseInHisName"
"300732862"	"1204649413"	"JamesGuatlo"	"CGLKag"
"300732862"	"822711883736068097"	"JamesGuatlo"	"VFrankenstein76"
"300732862"	"2219039905"	"JamesGuatlo"	"RealLPoslaiko"
"300732862"	"499460056"	"JamesGuatlo"	"drag0nmaster17"
"300732862"	"2573925348"	"JamesGuatlo"	"nancyleeca"
"1146478009"	"2605774730"	"OU_KAG"	"JaguarJinx"
"1146478009"	"799111347111751680"	"OU_KAG"	"cjdtwit"
"1146478009"	"708838439"	"OU_KAG"	"Juliananana1"
"1146478009"	"1298043420783415296"	"OU_KAG"	"Somewhe25118085"
"1146478009"	"1284223038418857984"	"OU_KAG"	"carlos57346837"
"1146478009"	"2950103415"	"OU_KAG"	"AnBeOnd"
"1146478009"	"1252227378522226688"	"OU_KAG"	"LizMcDo76763545"
"1146478009"	"923644614321541122"	"OU_KAG"	"LoverOfPups777"
"1146478009"	"1045424510353182727"	"OU_KAG"	"Trump_Girl_USA"
"1146478009"	"925072203267432448"	"OU_KAG"	"PatriotPennsy"
"1146478009"	"88524858"	"OU_KAG"	"Slady1234"
"1146478009"	"1076709293267783680"	"OU_KAG"	"realNick_777"
"1146478009"	"466789572"	"OU_KAG"	"MissILmom"
"1146478009"	"783716692664791040"	"OU_KAG"	"PraiseInHisName"
"1146478009"	"1204649413"	"OU_KAG"	"CGLKag"
"1146478009"	"822711883736068097"	"OU_KAG"	"VFrankenstein76"
"1146478009"	"2219039905"	"OU_KAG"	"RealLPoslaiko"
"1146478009"	"499460056"	"OU_KAG"	"drag0nmaster17"
"1146478009"	"705196121363243008"	"OU_KAG"	"judydock"
"1146478009"	"2573925348"	"OU_KAG"	"nancyleeca"
"525557014"	"799111347111751680"	"RedSnapper2017"	"cjdtwit"
"525557014"	"708838439"	"RedSnapper2017"	"Juliananana1"
"525557014"	"2950103415"	"RedSnapper2017"	"AnBeOnd"
"525557014"	"1204649413"	"RedSnapper2017"	"CGLKag"
"525557014"	"2573925348"	"RedSnapper2017"	"nancyleeca"
"41089989"	"799111347111751680"	"tweety07191959"	"cjdtwit"
"41089989"	"925072203267432448"	"tweety07191959"	"PatriotPennsy"
