"sourceID"	"targetID"	"sourceUN"	"targetUN"
"1260579863741763589"	"3400497179"	"Shannon4Jesus77"	"reneehilman"
"1260579863741763589"	"146175754"	"Shannon4Jesus77"	"redhotfunbunny"
"1260579863741763589"	"976778279783821312"	"Shannon4Jesus77"	"Will_Banx01"
"1260579863741763589"	"3281084922"	"Shannon4Jesus77"	"weeksway"
"1260579863741763589"	"724757721723990016"	"Shannon4Jesus77"	"furundjyan_m"
"1260579863741763589"	"948576577821929477"	"Shannon4Jesus77"	"AnonBecauseOf"
"1260579863741763589"	"782439353645576192"	"Shannon4Jesus77"	"telepathyUandMe"
"1260579863741763589"	"260634454"	"Shannon4Jesus77"	"wyodebbie"
"1260579863741763589"	"2859692441"	"Shannon4Jesus77"	"KarstenPlewnia"
"1260579863741763589"	"364816335"	"Shannon4Jesus77"	"gillsmith7"
"1260579863741763589"	"39877323"	"Shannon4Jesus77"	"YoHolz"
"1260579863741763589"	"2316357411"	"Shannon4Jesus77"	"dbuttonredhead"
"1260579863741763589"	"1099068120247877632"	"Shannon4Jesus77"	"Tdizzle503"
"1260579863741763589"	"1325167042161467394"	"Shannon4Jesus77"	"americanfreedcm"
"1260579863741763589"	"1305545302120837120"	"Shannon4Jesus77"	"Shirl90422701"
"1260579863741763589"	"1311878242652037127"	"Shannon4Jesus77"	"Boudi97440887"
"3400497179"	"39877323"	"reneehilman"	"YoHolz"
"976778279783821312"	"1351385318"	"Will_Banx01"	"YSuchAKerfuffle"
"976778279783821312"	"3529564162"	"Will_Banx01"	"karen_erotoo1"
"976778279783821312"	"1311878242652037127"	"Will_Banx01"	"Boudi97440887"
"3281084922"	"39877323"	"weeksway"	"YoHolz"
"3281084922"	"1311878242652037127"	"weeksway"	"Boudi97440887"
"425496140"	"1351385318"	"Lucy24Smith"	"YSuchAKerfuffle"
"948576577821929477"	"1247189654081863686"	"AnonBecauseOf"	"leathelioness2"
"948576577821929477"	"39877323"	"AnonBecauseOf"	"YoHolz"
"948576577821929477"	"1099068120247877632"	"AnonBecauseOf"	"Tdizzle503"
"948576577821929477"	"1325167042161467394"	"AnonBecauseOf"	"americanfreedcm"
"948576577821929477"	"1311878242652037127"	"AnonBecauseOf"	"Boudi97440887"
"771789999624847360"	"388105873"	"Jackmit30430051"	"UsaPete2"
"1154498946556805122"	"3529564162"	"thnkful2"	"karen_erotoo1"
"388105873"	"862217688"	"UsaPete2"	"atDoyleFM"
"388105873"	"1351385318"	"UsaPete2"	"YSuchAKerfuffle"
"388105873"	"3529564162"	"UsaPete2"	"karen_erotoo1"
"388105873"	"39877323"	"UsaPete2"	"YoHolz"
"782439353645576192"	"39877323"	"telepathyUandMe"	"YoHolz"
"1235325120702447617"	"184529787"	"Shivajirajebho5"	"silverkulwant"
"862217688"	"1351385318"	"atDoyleFM"	"YSuchAKerfuffle"
"1247189654081863686"	"39877323"	"leathelioness2"	"YoHolz"
"1351385318"	"39877323"	"YSuchAKerfuffle"	"YoHolz"
"1246403632909541376"	"39877323"	"RayL20204334"	"YoHolz"
"3529564162"	"39877323"	"karen_erotoo1"	"YoHolz"
"184529787"	"39877323"	"silverkulwant"	"YoHolz"
"39877323"	"2316357411"	"YoHolz"	"dbuttonredhead"
"39877323"	"1099068120247877632"	"YoHolz"	"Tdizzle503"
"39877323"	"1311878242652037127"	"YoHolz"	"Boudi97440887"
"2316357411"	"1325167042161467394"	"dbuttonredhead"	"americanfreedcm"
"1099068120247877632"	"1311878242652037127"	"Tdizzle503"	"Boudi97440887"
