,graph,GEPA, EPA,EPA_LW,RI,DA ,MDL,PBSI
56,Labeled_UG_IG_GraphInfo 32 1247189046453035008 .txt.RData.RData.RData,0,0,0,0,0,7,6
57,Labeled_UG_IG_GraphInfo 33 1247030383327064064 .txt.RData.RData.RData,1,1,0,0,1,2,1
58,Labeled_UG_IG_GraphInfo 34 1246859356861345792 .txt.RData.RData.RData,0,0,0,0,0,2,1
59,Labeled_UG_IG_GraphInfo 35 1243108863676579840 .txt.RData.RData.RData,0,0,0,0,1,3,0
60,Labeled_UG_IG_GraphInfo 36 1105393223462207488 .txt.RData.RData.RData,0,0,0,0,0,3,2
61,Labeled_UG_IG_GraphInfo 37 1243481300163538944 .txt.RData.RData.RData,0,2,2,2,0,6,5
62,Labeled_UG_IG_GraphInfo 38 1244281632145707008 .txt.RData.RData.RData,0,1,1,0,0,2,2
63,Labeled_UG_IG_GraphInfo 39 1244736805716590592 .txt.RData.RData.RData,0,0,0,0,0,2,0
64,Labeled_UG_IG_GraphInfo 4 1270110222074298368 .txt.RData.RData.RData,1,2,2,1,1,7,6
65,Labeled_UG_IG_GraphInfo 40 1238844904962428928 .txt.RData.RData.RData,0,0,0,0,1,2,2
66,Labeled_UG_IG_GraphInfo 42 1240190243736662016 .txt.RData.RData.RData,0,0,1,0,0,2,2
67,Labeled_UG_IG_GraphInfo 44 1239588747907403776 .txt.RData.RData.RData,0,1,1,1,1,3,2
68,Labeled_UG_IG_GraphInfo 46 1239604975933755392 .txt.RData.RData.RData,0,0,0,0,2,2,1
69,Labeled_UG_IG_GraphInfo 48 1239280325588660224 .txt.RData.RData.RData,0,1,1,0,0,2,1
70,Labeled_UG_IG_GraphInfo 49 1237656478808444928 .txt.RData.RData.RData,0,0,0,0,0,3,2
71,Labeled_UG_IG_GraphInfo 5 1256868393443098624 .txt.RData.RData.RData,0,1,1,1,1,2,1
72,Labeled_UG_IG_GraphInfo 50 1238070348677070848 .txt.RData.RData.RData,0,1,1,1,0,2,1
73,Labeled_UG_IG_GraphInfo 51 1222774654596734976 .txt.RData.RData.RData,0,0,0,0,0,2,1
74,Labeled_UG_IG_GraphInfo 52 1236369807110529024 .txt.RData.RData.RData,0,1,1,1,3,2,0
75,Labeled_UG_IG_GraphInfo 54 1237167118820360192 .txt.RData.RData.RData,0,0,0,0,0,2,1
76,Labeled_UG_IG_GraphInfo 55 1234573571726422016 .txt.RData.RData.RData,1,1,1,1,1,4,3
77,Labeled_UG_IG_GraphInfo 56 1234461652776574976 .txt.RData.RData.RData,0,0,0,0,0,2,1
78,Labeled_UG_IG_GraphInfo 57 1159652159798964224 .txt.RData.RData.RData,0,2,2,2,7,3,0
79,Labeled_UG_IG_GraphInfo 58 1230536125275467776 .txt.RData.RData.RData,1,1,1,0,0,2,1
80,Labeled_UG_IG_GraphInfo 59 1223780172937277440 .txt.RData.RData.RData,0,0,0,0,0,3,2
81,Labeled_UG_IG_GraphInfo 6 1263109814449778688 .txt.RData.RData.RData,2,2,2,2,2,2,1
82,Labeled_UG_IG_GraphInfo 60 1223297613769904128 .txt.RData.RData.RData,0,0,0,0,1,3,2
83,Labeled_UG_IG_GraphInfo 61 1224795417428332544 .txt.RData.RData.RData,0,3,3,2,12,4,6
84,Labeled_UG_IG_GraphInfo 62 1222471896723099648 .txt.RData.RData.RData,0,0,0,0,0,3,2
85,Labeled_UG_IG_GraphInfo 63 1221614243402792960 .txt.RData.RData.RData,2,2,2,2,2,4,4
86,Labeled_UG_IG_GraphInfo 64 1220672361512480768 .txt.RData.RData.RData,1,1,1,1,7,5,4
87,Labeled_UG_IG_GraphInfo 65 1264708841222045696 .txt.RData.RData.RData,0,3,3,2,1,10,9
88,Labeled_UG_IG_GraphInfo 66 1262368887938654208 .txt.RData.RData.RData,0,0,1,0,0,2,1
89,Labeled_UG_IG_GraphInfo 67 1257101690337144832 .txt.RData.RData.RData,0,1,1,1,1,1,2
90,Labeled_UG_IG_GraphInfo 68 1254888228160593920 .txt.RData.RData.RData,1,0,0,0,1,4,3
91,Labeled_UG_IG_GraphInfo 69 1252932862971707392 .txt.RData.RData.RData,1,1,1,1,1,3,2
92,Labeled_UG_IG_GraphInfo 7 1258954657474494464 .txt.RData.RData.RData,0,0,0,0,0,3,0
93,Labeled_UG_IG_GraphInfo 70 1252656981497860096 .txt.RData.RData.RData,0,1,1,0,0,3,0
94,Labeled_UG_IG_GraphInfo 71 1250924765331820544 .txt.RData.RData.RData,0,0,0,0,0,1,0
95,Labeled_UG_IG_GraphInfo 72 1248254992722558976 .txt.RData.RData.RData,0,0,0,0,0,2,1
96,Labeled_UG_IG_GraphInfo 73 1245137047188377600 .txt.RData.RData.RData,0,0,0,0,0,2,0
97,Labeled_UG_IG_GraphInfo 75 1242267620293804032 .txt.RData.RData.RData,0,0,0,0,0,1,0
98,Labeled_UG_IG_GraphInfo 77 1238883670108356608 .txt.RData.RData.RData,0,0,0,0,0,3,1
99,Labeled_UG_IG_GraphInfo 78 1233505993197314048 .txt.RData.RData.RData,0,0,0,0,0,2,1
100,Labeled_UG_IG_GraphInfo 79 1235323719050027008 .txt.RData.RData.RData,0,0,0,0,0,4,3
101,Labeled_UG_IG_GraphInfo 8 1267348093609050112 .txt.RData.RData.RData,0,1,1,1,0,4,3
102,Labeled_UG_IG_GraphInfo 80 1235386412112818176 .txt.RData.RData.RData,0,1,1,1,0,6,5
103,Labeled_UG_IG_GraphInfo 81 1233169609630588928 .txt.RData.RData.RData,0,0,0,0,0,4,3
104,Labeled_UG_IG_GraphInfo 82 1231042854014730240 .txt.RData.RData.RData,0,2,2,2,1,4,3
105,Labeled_UG_IG_GraphInfo 83 1265648147172339712 .txt.RData.RData.RData,1,1,1,1,1,2,1
106,Labeled_UG_IG_GraphInfo 84 720102224605638656 .txt.RData.RData.RData,0,0,1,0,0,6,5
107,Labeled_UG_IG_GraphInfo 85 1245950357605249024 .txt.RData.RData.RData,0,0,0,0,0,2,1
108,Labeled_UG_IG_GraphInfo 86 1243230232917786624 .txt.RData.RData.RData,1,0,0,0,0,3,2
109,Labeled_UG_IG_GraphInfo 87 1242109367903825920 .txt.RData.RData.RData,0,0,0,0,0,2,2
