"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"119771879"	"1334813597260804096"	"ZeroWarningShot"	2020-12-04 16:25:35
"1314046648889163781"	"1337020134523764736"	"AlexMAGA86"	2020-12-10 18:33:35
"2369860524"	"1335974629748461568"	"Cravma218"	2020-12-07 21:19:07
"1155301441575280642"	"1335869964360806400"	"Demslietoomuch"	2020-12-07 14:23:13
"3293272475"	"1335811675115630593"	"056de60a75ac48e"	2020-12-07 10:31:36
"1067995639261188096"	"1335320140100071432"	"christi64913966"	2020-12-06 01:58:25
"813715572"	"1335312795034931204"	"hok1eboy"	2020-12-06 01:29:13
"1081671729271980034"	"1335308857778855936"	"porknpicklepie"	2020-12-06 01:13:35
"1120666363830444037"	"1335308588554858498"	"MarkOfEngland1"	2020-12-06 01:12:31
"787311921968115712"	"1335303509340790785"	"PaulTondreau"	2020-12-06 00:52:20
"985652986620899328"	"1335251364952354817"	"cherylabrady"	2020-12-05 21:25:07
"455101757"	"1335238903255736323"	"mikepmenza"	2020-12-05 20:35:36
"24026225"	"1335236649370996737"	"DabbleEndeavors"	2020-12-05 20:26:39
"1301586857545871361"	"1335234996051857417"	"GilesAgain"	2020-12-05 20:20:05
"770590158806581248"	"1335227709270745091"	"LesaMoesch"	2020-12-05 19:51:07
"1029813696409886720"	"1335207103598899205"	"H8theB"	2020-12-05 18:29:15
"2974042497"	"1335019927795884033"	"3beebeebee3"	2020-12-05 06:05:28
"777891779441938432"	"1334950485787172867"	"jerseybadger1"	2020-12-05 01:29:32
"1021193655485386753"	"1334948326739939331"	"newhorizon7771"	2020-12-05 01:20:57
"1554514465"	"1334948291503591425"	"USAFamily_1st"	2020-12-05 01:20:49
"796515442181492737"	"1334946509247299584"	"lymynn2"	2020-12-05 01:13:44
"4336267632"	"1334945777454514177"	"NaidaDarling"	2020-12-05 01:10:50
"1249161525291614208"	"1334944931702583296"	"Geraldo22603187"	2020-12-05 01:07:28
"1219452948461293568"	"1334937171535556613"	"Jackie95460563"	2020-12-05 00:36:38
"1124115539444498432"	"1334917885815386113"	"Syn57178603"	2020-12-04 23:20:00
"33753849"	"1334871839466807297"	"puppylovr"	2020-12-04 20:17:01
"69327156"	"1334866182130847745"	"VPRhonda"	2020-12-04 19:54:33
"28399818"	"1334858825451581444"	"CiraVO"	2020-12-04 19:25:19
"24894021"	"1334849248911708161"	"chshaw6969"	2020-12-04 18:47:15
"42601226"	"1334848677593165824"	"carolinasilvabi"	2020-12-04 18:44:59
"1267910878923575297"	"1334848452577128448"	"45AmericanWoman"	2020-12-04 18:44:06
"181635855"	"1334847676702191616"	"justcallmepatti"	2020-12-04 18:41:01
"757684264733282304"	"1334821136165707776"	"Lifaccordng2kat"	2020-12-04 16:55:33
"19913598"	"1334818306314936321"	"designinghomes"	2020-12-04 16:44:18
"326592707"	"1334816791596576768"	"MacDiesel77"	2020-12-04 16:38:17
"1280295016045383681"	"1334816322534957056"	"Aussie26619825"	2020-12-04 16:36:25
"53162642"	"1334813977189158912"	"RN4US"	2020-12-04 16:27:06
