"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"860818219"	"1336039106325856257"	"POTUS_UBRA"	2020-12-08 01:35:20
"1337590472022380546"	"1337617444580564992"	"Joonie04454753"	2020-12-12 10:07:05
"143249559"	"1336831758059376642"	"taowy79"	2020-12-10 06:05:02
"1250098151500984323"	"1336491456656273416"	"Pattie93151993"	2020-12-09 07:32:48
"1208199413274947584"	"1336475535388635137"	"SimonePetitChu1"	2020-12-09 06:29:32
"1239603971280510978"	"1336460816170819587"	"JoeBoon33620544"	2020-12-09 05:31:03
"864169919168040961"	"1336427190037204995"	"slsjake12"	2020-12-09 03:17:26
"325825139"	"1336422782754762755"	"rnjane315"	2020-12-09 02:59:55
"1267579542"	"1336386029817909248"	"bandhransome"	2020-12-09 00:33:53
"1237540282935037952"	"1336384989445832707"	"MightyM90204620"	2020-12-09 00:29:44
"3406606403"	"1336381551865712642"	"ChrisCmoon07"	2020-12-09 00:16:05
"1211899922930229249"	"1336380040783699969"	"DavidMo85176905"	2020-12-09 00:10:05
"904425554"	"1336350749031280640"	"SoxDiva12"	2020-12-08 22:13:41
"733653218308329472"	"1336349913702002688"	"livefromFV"	2020-12-08 22:10:22
"2814416554"	"1336345520940457985"	"ponytaila1a"	2020-12-08 21:52:54
"296867794"	"1336308546456211457"	"413714"	2020-12-08 19:25:59
"430736552"	"1336297648513556482"	"GeorgiaKubesh"	2020-12-08 18:42:41
"4855980283"	"1336286560971489281"	"realMetalManic"	2020-12-08 17:58:37
"938515255155597313"	"1336285648974704640"	"AngelaLauraLee1"	2020-12-08 17:55:00
"1061798185100890112"	"1336171467881525248"	"BadassBass39"	2020-12-08 10:21:17
"1247796506695892995"	"1336164007321989123"	"Michael08080729"	2020-12-08 09:51:38
"1281559959457669122"	"1336086707393978377"	"americansghltd"	2020-12-08 04:44:28
"801338071572738048"	"1336082800693436418"	"Wildflower737"	2020-12-08 04:28:57
"1257713064687931392"	"1336041169684410368"	"Kathlee47846096"	2020-12-08 01:43:31
"24615883"	"1336039389588238348"	"girliesmom"	2020-12-08 01:36:27
