"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"883854999444500480"	"1335997247297904645"	"pbs0033"	2020-12-07 22:49:00
"296867794"	"1337737060812255232"	"413714"	2020-12-12 18:02:23
"908125838654062592"	"1337135604958720000"	"magamelarky"	2020-12-11 02:12:25
"704462639242616837"	"1336881286267342849"	"justdeplorible"	2020-12-10 09:21:51
"1070155320503296000"	"1336634256790089729"	"QMEUP2"	2020-12-09 17:00:14
"183502531"	"1336535866773213186"	"onealajo"	2020-12-09 10:29:16
"1332071529149034510"	"1336442303582507009"	"Hopkins17761"	2020-12-09 04:17:29
"2365828291"	"1336436261251215360"	"cmojomama"	2020-12-09 03:53:29
"4004565707"	"1336434118561849348"	"rt119st"	2020-12-09 03:44:58
"821778111788417026"	"1336431008032444418"	"fit4aqueen3"	2020-12-09 03:32:36
"1254237995751731201"	"1336425589918482432"	"LAURIEJTHOMAS4"	2020-12-09 03:11:04
"1112751218407825408"	"1336425282941538304"	"Studio59Designs"	2020-12-09 03:09:51
"841100683801591808"	"1336425058378477569"	"BlueKomand"	2020-12-09 03:08:58
"1122620594497835008"	"1336406849868840961"	"unify_the"	2020-12-09 01:56:36
"1139385829573312512"	"1336406241254338560"	"BaalThe"	2020-12-09 01:54:11
"1056346400865177600"	"1336402300382838784"	"American_Spice"	2020-12-09 01:38:32
"1248059680317935617"	"1336398664835751936"	"heartrnb1"	2020-12-09 01:24:05
"1128409620895105025"	"1336398435314962434"	"Angel5Christine"	2020-12-09 01:23:10
"276747873"	"1336388161593880576"	"myraj28"	2020-12-09 00:42:21
"1114718776258367488"	"1336379588038057985"	"UnitesTruth"	2020-12-09 00:08:17
"1226617285"	"1336363303883460610"	"N8iveTucsonan"	2020-12-08 23:03:34
"817604531374739456"	"1336361379293503492"	"HMLoeschMcK"	2020-12-08 22:55:55
"781307569658748928"	"1336358380986884101"	"LetItRain233"	2020-12-08 22:44:01
"1250510882418941953"	"1336357151015641089"	"ARaisinghell"	2020-12-08 22:39:07
"613698586"	"1336341565573267457"	"TigerMary4Trump"	2020-12-08 21:37:11
"4605113535"	"1336336762235281420"	"julie_cappiello"	2020-12-08 21:18:06
"1284557235197227009"	"1336314423867289600"	"Gunroz6"	2020-12-08 19:49:20
"1227249535010902016"	"1336303611052236801"	"SandraLK7"	2020-12-08 19:06:22
"1190620428756234240"	"1336290884556611589"	"DrFarang"	2020-12-08 18:15:48
"3196304355"	"1336290043313463297"	"hpgeer"	2020-12-08 18:12:28
"1241896182869303303"	"1336289838954393601"	"EG4USA"	2020-12-08 18:11:39
"49842578"	"1336286213456547841"	"Witynfun"	2020-12-08 17:57:14
"922096505435164673"	"1336264851275067394"	"JimWill_KAG"	2020-12-08 16:32:21
"814485683196657664"	"1336136740977995776"	"Blesst777"	2020-12-08 08:03:17
"33607522"	"1336123948195602437"	"peggyperez"	2020-12-08 07:12:27
"1009466031922917379"	"1336075795417210885"	"Teresam46396557"	2020-12-08 04:01:07
"1305880588222697472"	"1335999952972034048"	"TaraRenee911"	2020-12-07 22:59:45
