"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"822518256099438592"	"1335012797478916096"	"CyndyCali"	2020-12-05 05:37:08
"328388476"	"1337375900342525952"	"julieagannon"	2020-12-11 18:07:16
"1002017685650198529"	"1335638525996363777"	"ChrisWo22575380"	2020-12-06 23:03:34
"1297771469020176384"	"1335636782113681408"	"graces_three"	2020-12-06 22:56:38
"24405415"	"1335627737055162370"	"TariRiddle"	2020-12-06 22:20:41
"1146494128819253250"	"1335576238925164550"	"Nicksteel12"	2020-12-06 18:56:03
"1060345687571918849"	"1335566618269769728"	"RJH53483284"	2020-12-06 18:17:50
"64124912"	"1335464397129408512"	"pamzHis"	2020-12-06 11:31:38
"1279260184486051840"	"1335463824502173698"	"tumptyone"	2020-12-06 11:29:22
"1211754137995530240"	"1335463772081639426"	"DianneT06564576"	2020-12-06 11:29:09
"3452358107"	"1335463674832691200"	"woaname"	2020-12-06 11:28:46
"956294138"	"1335462902996856838"	"TruthIsRealLove"	2020-12-06 11:25:42
"727660295812845568"	"1335462144121446402"	"born_maga"	2020-12-06 11:22:41
"327564831"	"1335461787731329025"	"1854R"	2020-12-06 11:21:16
"1137823130720919554"	"1335461535364370432"	"JDPHD2"	2020-12-06 11:20:16
"1136757993079418880"	"1335455352708505603"	"TimEvan74724174"	2020-12-06 10:55:42
"1228391046788403200"	"1335441954956595200"	"myctoday1"	2020-12-06 10:02:28
"2245931472"	"1335413249848860673"	"Patriotisme_FR"	2020-12-06 08:08:24
"959541719661514752"	"1335389746990813184"	"Garyste71163550"	2020-12-06 06:35:00
"1325160969421549570"	"1335386019567464448"	"CanaHardyBLeave"	2020-12-06 06:20:11
"313068966"	"1335385909156581381"	"midwestgal1"	2020-12-06 06:19:45
"1241495726116548610"	"1335385461460791296"	"Jess39795139"	2020-12-06 06:17:58
"1263271443069992960"	"1335383996729946113"	"CaliSTOIC"	2020-12-06 06:12:09
"461780457"	"1335383607981039617"	"MsMagnolia0913"	2020-12-06 06:10:37
"819663787112468480"	"1335383572274847745"	"NaniZoey"	2020-12-06 06:10:28
"2182471615"	"1335381629041143808"	"sheralyn80"	2020-12-06 06:02:45
"23132979"	"1335380885810647041"	"charsy102"	2020-12-06 05:59:48
"994290877672505345"	"1335380684052029441"	"LoveIsIt61"	2020-12-06 05:58:59
"390055135"	"1335377172505255936"	"QAFrFight"	2020-12-06 05:45:02
"283664467"	"1335376297485168640"	"pilottierney"	2020-12-06 05:41:34
"161165974"	"1335376114546565120"	"nmzoocrew"	2020-12-06 05:40:50
"1282834957300199425"	"1335375623905112065"	"EarthRooster2"	2020-12-06 05:38:53
"1171196331945275392"	"1335375313866518528"	"ColSDM"	2020-12-06 05:37:39
"48155979"	"1335374945593987074"	"Ironcola"	2020-12-06 05:36:11
"105523171"	"1335273406032441350"	"sonmanvb"	2020-12-05 22:52:42
"3301798743"	"1335232392647356416"	"gambler1647"	2020-12-05 20:09:44
"1942491492"	"1335232181627707393"	"cinarte1956"	2020-12-05 20:08:54
"173119648"	"1335227222295244800"	"lifecoachcathy"	2020-12-05 19:49:11
"1255152783126388736"	"1335226904631185409"	"dentside73"	2020-12-05 19:47:56
"32910358"	"1335226831532929024"	"LakesideRules"	2020-12-05 19:47:38
"3997745003"	"1335186474073993219"	"chelle_1979"	2020-12-05 17:07:16
"1324314793075974145"	"1335182795585499138"	"BobFighter45"	2020-12-05 16:52:39
"1219459777408962565"	"1335113668850311170"	"Mogul_Warriors"	2020-12-05 12:17:58
"1259514080"	"1335081568344428544"	"bauer3151"	2020-12-05 10:10:25
"1262477297698902019"	"1335076617442500608"	"Amanda96894930"	2020-12-05 09:50:44
"1296516854668812288"	"1335070905911959552"	"CatsMeow_17"	2020-12-05 09:28:03
"1150919839130759168"	"1335064365096194051"	"Ltyplm"	2020-12-05 09:02:03
"1259874126979874818"	"1335063109682278406"	"FreeRASnow"	2020-12-05 08:57:04
