"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"822901284655210497"	"1340327679229374464"	"gr8tjude_08"	2020-12-19 21:36:35
"1271543053795373059"	"1340470668966719488"	"MicroDoc9"	2020-12-20 07:04:46
"2737262661"	"1340461652194570240"	"ronsharpe751"	2020-12-20 06:28:57
"45623606"	"1340439180569169925"	"cowtownconserv"	2020-12-20 04:59:39
"1332389333559492608"	"1340430109266735104"	"Georgia18284619"	2020-12-20 04:23:36
"817842366"	"1340408393736044545"	"geraldnichols2"	2020-12-20 02:57:19
"1044038144755142656"	"1340401191054942208"	"Ghostgi63114065"	2020-12-20 02:28:42
"1186323011399487488"	"1340398404384505856"	"Hope46632929"	2020-12-20 02:17:37
"22736617"	"1340396731058405376"	"brc1014"	2020-12-20 02:10:58
"4872757378"	"1340372428481060864"	"GeorgeSkoulikas"	2020-12-20 00:34:24
"826278930923536385"	"1340369596491153408"	"LisaTrue12"	2020-12-20 00:23:09
"1048181483410808833"	"1340368828728029186"	"AmaJ06616283"	2020-12-20 00:20:06
"1288249948102852610"	"1340355074372059136"	"EdeeOdell"	2020-12-19 23:25:26
"402088101"	"1340353938541973505"	"AnnWilson11"	2020-12-19 23:20:56
"820028642893897728"	"1340353867469484033"	"muddslingerks"	2020-12-19 23:20:39
"1293010332361691136"	"1340350774983835653"	"sharonh78736642"	2020-12-19 23:08:21
"1224015729894158345"	"1340350032919195648"	"LallyLinda"	2020-12-19 23:05:25
"1229764309850480640"	"1340349193311973377"	"barbarabain9"	2020-12-19 23:02:04
"801624661431873537"	"1340347482157559809"	"EJorge12"	2020-12-19 22:55:16
"796974499711356930"	"1340347006372474882"	"OldStudentnow"	2020-12-19 22:53:23
"1159696681258143744"	"1340346069201334275"	"yvonne_oo7"	2020-12-19 22:49:39
"823293286781751298"	"1340342228099739652"	"CozyRainbow25"	2020-12-19 22:34:24
"1211996642796171266"	"1340341797629931521"	"seekingwisdom14"	2020-12-19 22:32:41
"39625445"	"1340341770077540354"	"MooCowExpress"	2020-12-19 22:32:34
"17074734"	"1340340937017442307"	"sassylassie2"	2020-12-19 22:29:16
"964528422004371461"	"1340340481440456705"	"TrumpyQGirl"	2020-12-19 22:27:27
"908064396"	"1340340334128222208"	"Metalworks4"	2020-12-19 22:26:52
"261736294"	"1340339428754137093"	"ElizbethLManess"	2020-12-19 22:23:16
"1168154047653826562"	"1340339254262697984"	"RobinHa04050364"	2020-12-19 22:22:35
"2610233112"	"1340338080364937216"	"palagi684"	2020-12-19 22:17:55
"19235247"	"1340338025746886656"	"DarleenD"	2020-12-19 22:17:42
"1322323421628424192"	"1340337539027222528"	"Patrick97248218"	2020-12-19 22:15:46
"1183720217827893249"	"1340336909017468929"	"vanantwerp_m"	2020-12-19 22:13:16
"988365345156096000"	"1340336733230022656"	"GeorgeT95114164"	2020-12-19 22:12:34
"936978532189732866"	"1340336337547915265"	"Robertmark1010"	2020-12-19 22:10:59
"1261382431778668545"	"1340336283315564544"	"ASullins5"	2020-12-19 22:10:46
"525928734"	"1340335818565664768"	"Matthew78505222"	2020-12-19 22:08:56
"943133115668684800"	"1340335537450872832"	"12gourmetfoodie"	2020-12-19 22:07:49
"819346015887224833"	"1340335517188108288"	"VeronTurner"	2020-12-19 22:07:44
"749437963742961664"	"1340335369812848640"	"StevenRCorey1"	2020-12-19 22:07:09
"978774316056809473"	"1340335190388961284"	"KarlaSt43853186"	2020-12-19 22:06:26
"91672084"	"1340335168259809280"	"suemawdes"	2020-12-19 22:06:20
"819959560735756288"	"1340335030330114050"	"libbysc53829165"	2020-12-19 22:05:48
"559016813"	"1340335018749640707"	"HectorRealtor"	2020-12-19 22:05:45
"1312206719880175616"	"1340334778676076546"	"juggernaut_red"	2020-12-19 22:04:48
"1029343963524816899"	"1340334733557952513"	"RN549"	2020-12-19 22:04:37
"537328777"	"1340334400844795905"	"bernadetterepis"	2020-12-19 22:03:18
"1045558231"	"1340334328425947143"	"VFL2013"	2020-12-19 22:03:00
"1339987005464334339"	"1340333557168955392"	"jpmur64"	2020-12-19 21:59:56
"941471932872101888"	"1340332908750495747"	"BobTheArcher50"	2020-12-19 21:57:22
"564547349"	"1340332864072773642"	"GingerGingerp4"	2020-12-19 21:57:11
"72445782"	"1340331421832011779"	"smillr"	2020-12-19 21:51:27
"912767814531899392"	"1340331180869079040"	"LukeRey34310444"	2020-12-19 21:50:30
"774433096028401666"	"1340331065559412736"	"ryancbates40"	2020-12-19 21:50:02
"870582308495142912"	"1340330773484736518"	"Reinebow23"	2020-12-19 21:48:53
"1228134541019295744"	"1340330560300978176"	"TheClasslessCo"	2020-12-19 21:48:02
"1051926378269069312"	"1340330453820170240"	"JohnPCahill1"	2020-12-19 21:47:36
"901903482"	"1340330379111120896"	"VotingRed1"	2020-12-19 21:47:19
"410320202"	"1340330054581149698"	"bogeynelson"	2020-12-19 21:46:01
"1153427894787379200"	"1340329897730793472"	"BlackardDan"	2020-12-19 21:45:24
"1340055966608470017"	"1340329879687081984"	"cookiepuss1779"	2020-12-19 21:45:20
"563130155"	"1340329815950438401"	"alishajane777"	2020-12-19 21:45:04
"1566572072"	"1340329536404283393"	"debra_bonanno"	2020-12-19 21:43:58
