"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"817024911348678656"	"1293622883072094209"	"stuff_charlie"	2020-08-13 00:28:24
"726137975264825345"	"1293772284830744577"	"Cat_00005"	2020-08-13 10:22:04
"871166988634263553"	"1293680697769689095"	"travelbahama"	2020-08-13 04:18:08
"823922994825359360"	"1293678233456726018"	"JNG1925"	2020-08-13 04:08:20
"874025693897777152"	"1293667278450565124"	"paradise_joanne"	2020-08-13 03:24:49
"1001858614523518977"	"1293654930654404608"	"AngelaCloud7"	2020-08-13 02:35:45
"81189820"	"1293652817941495811"	"mojojones"	2020-08-13 02:27:21
"42037660"	"1293652459362160640"	"governmentlists"	2020-08-13 02:25:55
"822999677448704000"	"1293651244729413632"	"banjoscrambler"	2020-08-13 02:21:06
"480447278"	"1293650667043774468"	"GeneTimothyNC"	2020-08-13 02:18:48
"831651493329580032"	"1293650494636748800"	"Mmarty1230"	2020-08-13 02:18:07
"814245152944427008"	"1293650228835475458"	"jhawk2467"	2020-08-13 02:17:04
"1401281562"	"1293640561874948101"	"CarolinaSistah"	2020-08-13 01:38:39
"820782954913873925"	"1293639311569686530"	"creepshow_i812"	2020-08-13 01:33:41
"1091766683688005632"	"1293638210711457792"	"pattiannusa"	2020-08-13 01:29:18
"3480694337"	"1293630429967167488"	"timofowler"	2020-08-13 00:58:23
"907355913467650049"	"1293628997813915648"	"Me202055"	2020-08-13 00:52:42
"580114573"	"1293627835115016194"	"garm_t"	2020-08-13 00:48:04
"4337549712"	"1293627683042189313"	"laurape00486139"	2020-08-13 00:47:28
"192237803"	"1293626928096784384"	"mchitty61"	2020-08-13 00:44:28
"757551452927721472"	"1293626393285337090"	"st_anders16"	2020-08-13 00:42:21
"1051207638564950017"	"1293625627979874304"	"snarkybeach"	2020-08-13 00:39:18
"950015076676890624"	"1293625428306001920"	"EdwardO75939830"	2020-08-13 00:38:31
"1245917900621242369"	"1293624773763792897"	"SpunValary"	2020-08-13 00:35:55
"1151244847040225280"	"1293624755111698432"	"DesertCatsRule"	2020-08-13 00:35:50
"363879150"	"1293624191158226944"	"whosmurphy"	2020-08-13 00:33:36
"88743609"	"1293623838262071300"	"0bama_gate"	2020-08-13 00:32:12
"1099612623522414592"	"1293623211658113024"	"WatchdogSam"	2020-08-13 00:29:42
