"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"2778358036"	"1329375430395179009"	"JoliMayra"	2020-11-19 16:16:15
"1313190321472311296"	"1329439982793203717"	"DannBai02833038"	2020-11-19 20:32:46
"515337844"	"1329416248313204736"	"WellerD1"	2020-11-19 18:58:27
"1272633997571522569"	"1329414485308796931"	"Bing00121"	2020-11-19 18:51:27
"325250129"	"1329409594926493696"	"eye_b_prazn"	2020-11-19 18:32:01
"53745942"	"1329408502457114624"	"futatolm"	2020-11-19 18:27:40
"1280546278854799360"	"1329404619764674560"	"Bast_NM"	2020-11-19 18:12:15
"997634180"	"1329401725548105733"	"StockFolioBuild"	2020-11-19 18:00:45
"1226373709356621830"	"1329398697885483008"	"Venusthepatriot"	2020-11-19 17:48:43
"824482823759396866"	"1329396506131111938"	"TamaraInphilly"	2020-11-19 17:40:00
"36674253"	"1329392888074080256"	"CVRay1"	2020-11-19 17:25:38
"905218979148570625"	"1329389123082330113"	"JennBru2016"	2020-11-19 17:10:40
"1268966704861851653"	"1329387354092675078"	"Grendel33226765"	2020-11-19 17:03:38
"704455889814552576"	"1329386712154464256"	"NeldaCruzzz"	2020-11-19 17:01:05
"1209187359771762688"	"1329386276995395586"	"MyVotesCount1"	2020-11-19 16:59:21
"1098718028185980930"	"1329382181215592448"	"obai0071"	2020-11-19 16:43:05
"732541786606952449"	"1329381969206063104"	"harismian46"	2020-11-19 16:42:14
"706541040556220416"	"1329381203615559682"	"marysue24843755"	2020-11-19 16:39:12
"1175147756953882624"	"1329379830131933189"	"kenlipson"	2020-11-19 16:33:44
"707737957667639296"	"1329379756849197058"	"ntrahan1"	2020-11-19 16:33:27
"1108538830422970368"	"1329378700475977731"	"rhoads_sonya"	2020-11-19 16:29:15
"1290090254150635523"	"1329377965197627392"	"Michell36127477"	2020-11-19 16:26:20
"1234011177363083264"	"1329377193659654145"	"Rencia17Dev"	2020-11-19 16:23:16
"878607346632605696"	"1329376909545725955"	"bazzdog1"	2020-11-19 16:22:08
"1241137756924981249"	"1329376722983260160"	"JackRog34828783"	2020-11-19 16:21:24
"3306503963"	"1329376632340148227"	"lollyshack1966"	2020-11-19 16:21:02
"1280434202727645184"	"1329376482846797829"	"JAYSHERIDAN13"	2020-11-19 16:20:26
"2755603695"	"1329376347593076736"	"shellsncheezzz"	2020-11-19 16:19:54
"1255207353760317441"	"1329375990133436416"	"AskewIv"	2020-11-19 16:18:29
"1138321850516291585"	"1329375741562277888"	"informationacc8"	2020-11-19 16:17:30
"1237064387699134465"	"1329375522024009730"	"ChrisCletus6"	2020-11-19 16:16:37
