"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"1331975682"	"1326117461427695616"	"UncleSamsNation"	2020-11-10 16:30:15
"1042172015464120321"	"1326375160673398785"	"eddz_v"	2020-11-11 09:34:15
"770070341561573376"	"1326312292695289856"	"BransANana"	2020-11-11 05:24:26
"3364910833"	"1326231476157865984"	"alianne1313"	2020-11-11 00:03:18
"1168930353370656768"	"1326214828797485056"	"RCustos"	2020-11-10 22:57:09
"2489873588"	"1326179872822026242"	"brewer_jimmie"	2020-11-10 20:38:15
"1218541628207616000"	"1326170784558100480"	"RosenburgChris"	2020-11-10 20:02:08
"1248744726053842945"	"1326161778959507458"	"Todd57396003"	2020-11-10 19:26:21
"144033709"	"1326155036091703297"	"Al_Nimer"	2020-11-10 18:59:34
"23030704"	"1326147966516817920"	"AnnNan"	2020-11-10 18:31:28
"2239548626"	"1326145312721760256"	"izzipatriot"	2020-11-10 18:20:55
"3177427682"	"1326144946949160965"	"wacco99"	2020-11-10 18:19:28
"1045388086480449537"	"1326140635112411136"	"PapaBea17972729"	2020-11-10 18:02:20
"962770656218767361"	"1326132149657997313"	"scootj77"	2020-11-10 17:28:37
"1102609591068704768"	"1326131553630564352"	"cdw7298"	2020-11-10 17:26:15
"443348831"	"1326126378064904192"	"MjohnsonScott"	2020-11-10 17:05:41
"418711935"	"1326125286879080448"	"kate57chevy"	2020-11-10 17:01:21
"509708052"	"1326120533604278274"	"Luckyluciano33"	2020-11-10 16:42:27
"780084641172590592"	"1326118548998156289"	"VickyMKrause"	2020-11-10 16:34:34
"3519971534"	"1326118385189482501"	"GrumpyKatKat801"	2020-11-10 16:33:55
"1949886170"	"1326118052556140544"	"ChristophVestal"	2020-11-10 16:32:36
"1060514332256227328"	"1326118013368733697"	"wilstyty"	2020-11-10 16:32:27
"4446238039"	"1326117753615380485"	"isaacreimer45"	2020-11-10 16:31:25
