"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"1269485513838407680"	"1339601213294309376"	"EukayBrie"	2020-12-17 21:29:52
"516049396"	"1339639609811189760"	"david60719370"	2020-12-18 00:02:26
"69167813"	"1339631705020395520"	"JWC0506"	2020-12-17 23:31:02
"829492467846217729"	"1339622926425976832"	"Fred__Ziffel"	2020-12-17 22:56:09
"2212211217"	"1339620850329411584"	"ChrisMa17863820"	2020-12-17 22:47:54
"1325270786303782912"	"1339617868422496259"	"Charlot32763602"	2020-12-17 22:36:03
"1309155965284102145"	"1339616875622379521"	"macv59"	2020-12-17 22:32:06
"2846859046"	"1339615940045119489"	"crcollier43"	2020-12-17 22:28:23
"1690111062"	"1339608979572449282"	"robert_traurig"	2020-12-17 22:00:44
"2364187574"	"1339607369228161025"	"ethgaston"	2020-12-17 21:54:20
"776433357810900996"	"1339605830925045761"	"mel4299"	2020-12-17 21:48:13
"1096487140228132864"	"1339605470953140233"	"EmilioC57082867"	2020-12-17 21:46:47
"823966438356619264"	"1339605042702249984"	"tweedy1926"	2020-12-17 21:45:05
"432708487"	"1339604988276961280"	"2bboop2"	2020-12-17 21:44:52
"1250428849113853957"	"1339604985886121985"	"tasha31428819"	2020-12-17 21:44:51
"1262480015809282050"	"1339604907452628997"	"Pamela879847813"	2020-12-17 21:44:33
"830565178219565056"	"1339604751332347905"	"RonReed68469201"	2020-12-17 21:43:56
"2180965942"	"1339604558667014146"	"LyndaScheerer"	2020-12-17 21:43:10
"976245276041097216"	"1339603718837133314"	"RichettiCydni"	2020-12-17 21:39:49
"1287423008"	"1339603119739584512"	"ruhoward4"	2020-12-17 21:37:27
"956772848101744640"	"1339603002013806596"	"ToddTran11"	2020-12-17 21:36:58
"838316170059010048"	"1339602541168881664"	"SoCalHello"	2020-12-17 21:35:09
"1310620376561528833"	"1339602165879304197"	"MJMAGA1"	2020-12-17 21:33:39
"901975044414472192"	"1339601579377213444"	"KenSahib"	2020-12-17 21:31:19
"1289973316862775297"	"1339601440386379781"	"Sunnysideupfar2"	2020-12-17 21:30:46
"1275627374776893440"	"1339601381406113793"	"Ladylb1971"	2020-12-17 21:30:32
