"remaining_sg_ID"	"remaining_sg_UN"
"1301282919550517248"	"MagaMarchDC"
"43248430"	"Sistreat"
"1283473454767972354"	"laurapoyner1"
"1299331747830738947"	"CarolMckain"
"1385695716"	"rovcheck"
"993969015709151232"	"bestillpsalm46"
"2888932398"	"jmowan628"
"1225195136159711234"	"JohnBar05697227"
"938515255155597313"	"AngelaLauraLee1"
"1320599563678396417"	"AlanScolaire"
"27271094"	"coasterqueen13"
"1631961193"	"rockangelroxx"
"729812507364306946"	"SusanMainSt"
"983443869877587969"	"ChrisM26981"
"1111429252958904320"	"Merkabah31"
"104188381"	"Deneen2010"
"32805627"	"brwskitime"
"1244107651241447426"	"ChuckMa10442409"
"48281885"	"tehranipoor"
"58580505"	"billthompson37"
"768860879345647616"	"joest575"
"984099902"	"kansas_jenn"
"1086683311424958464"	"PennyWafford"
"17250787"	"mopar75028"
"419207859"	"TrumpAholic_17"
"1319104578705629186"	"YumiAmyTanaka1"
"1335271836620365827"	"Normalpplnews"
"1325445595255988226"	"Triggered20201"
"16726814"	"wolfwolfwolf"
