"remaining_sg_ID"	"remaining_sg_UN"
"1327194560968200193"	"StrebeckEric"
"814281055054262272"	"jswift915"
"3317012043"	"JantarekB"
"308701148"	"Christalball93"
"1080303963285741569"	"olmoist"
"1324555157279961089"	"best88net"
"701450114850807808"	"anitaburnsalan1"
"3324091277"	"ivyhofling"
"1153089331302674432"	"SonyaGeorgie"
"4858735293"	"Tomasit82948014"
"1285739143675420672"	"Kiki47616263"
"1168961436678275072"	"Mrlebowski9"
"3256287108"	"ccjessica163"
"412522465"	"RosieJane0108"
"4294512193"	"DeathKnightRZ"
"1238546813625475072"	"cwf2008"
"876966733"	"Ts2680"
"1311248489418956800"	"AnnMari91768044"
"1291350166667173888"	"DLichtward"
"712128787241013248"	"Pleeplop69"
"43802574"	"eddgimenez"
"29847153"	"trublueeys"
