"remaining_sg_ID"	"remaining_sg_UN"
"2385898496"	"patansk"
"817884018"	"Knightkore"
"803820554709061633"	"EvelynWJones2"
"810106012984164352"	"mojavethorn"
"1248198488015409152"	"Towyn12"
"2253938606"	"Boogie2424"
"1220550988450422785"	"Drama11Mama"
"1103101860104163328"	"DeplorableHigh1"
"880816013410959360"	"dfkennedy1960"
"1415407104"	"DebMarshallLPC"
"111530406"	"couragUS1"
"41009668"	"Heurist"
"1039226552213536770"	"zadarchick"
"1214494272445177856"	"JCFIELVARD"
"2899997795"	"sleduc5881"
"1055367092"	"dopiot"
"160605641"	"terieauer"
"21183966"	"andrewmgo"
"2858584827"	"scuroscuroscuro"
"1205274575552098305"	"KimHout28315997"
"1271802987418136578"	"SmilenDios"
"1148750544082804736"	"LeighCooke18"
