"remaining_sg_ID"	"remaining_sg_UN"
"1155836422101839873"	"Tosha71757846"
"4828387649"	"BillyJJIII"
"1240674080145072130"	"kenshinh10"
"141821298"	"jaipena"
"1208464200353419264"	"tdHOgh40JtRAsed"
"1208638408278589440"	"Pimpernut"
"970412304440483844"	"bmburkin1"
"3287679715"	"Snoopy_thats_me"
"131960388"	"MarYahMobilla"
"1293334126876069889"	"Kelly02840086"
"1106990578791788544"	"BernadeteWinkl4"
"1334628328553254912"	"JimmyTheGent987"
"1226849609957433344"	"diggero2"
"761454523751600129"	"xyan1061"
"1187847353279008769"	"Taratar30499184"
"1186343603100180482"	"SuffragiumX"
"860605290"	"ryanmlewallen1"
"206498383"	"cynthia_hennig"
"1275404787555741696"	"LoriPranger"
"58628189"	"greytfan"
"1314896822113107974"	"postalthoughts"
"819965543818018817"	"cutebengals"
"1178431670396997632"	"LisaSkyart"
"1171408220"	"Nanemad"
"1335670806999748609"	"EarthAuset"
"1336785819831574537"	"Numpties3"
"1007083273"	"MaMakiber"
"3652156574"	"AliceGregg3"
"781008165169143808"	"PatriotRains"
"903344282286694400"	"DebraMixon6"
"1208420221310164993"	"Joanne03645708"
"1921755078"	"benners_beth"
"793872342489280512"	"Nossop13"
"887816204588650496"	"david_dunard"
"1214494272445177856"	"JCFIELVARD"
"381218736"	"ErnestoJBonilla"
"517501612"	"StephMcMurphy"
"1142065942853296129"	"LisaHause4"
"1281705645020835840"	"WTFnNETWORK"
"822779220367654913"	"amckaczor"
