"remaining_sg_ID"	"remaining_sg_UN"
"3069274733"	"Gammafoxie"
"4909189339"	"HiattPshiatt"
"952976341950869504"	"A65621174"
"128457263"	"RAFrenzy"
"1024297975793647617"	"UnseenWaysMeans"
"787822930814087169"	"MOecrec"
"39528962"	"hrcarlile"
"936368878220922881"	"truthwinstheday"
"1336593827956715521"	"Ghostpants18"
"761327216898613249"	"outsource1bene2"
"1478776813"	"Rriothamus"
"20518313"	"teachingazteca"
"1338299372526682112"	"plot_president"
"3303768278"	"RachelTry32"
"840705170786922497"	"ApplegateJacque"
"1243568332806201344"	"TAnders54024797"
"1327442450957303809"	"VegasVisions"
"1061340799160344576"	"GGrandmag73"
"941952587074539520"	"lilomo16"
"1251916637101572098"	"takach_j"
"1319311581709099008"	"Quest4InfoOps2"
"74004570"	"TJBrown100"
"2890359733"	"saida_direita"
"1047523163029102593"	"clearwa51830290"
"749614411"	"shopzebra34"
"215374028"	"valesia2"
"1665374090"	"JoseAlb50283902"
