"remaining_sg_ID"	"remaining_sg_UN"
"1337590472022380546"	"Joonie04454753"
"143249559"	"taowy79"
"1250098151500984323"	"Pattie93151993"
"1208199413274947584"	"SimonePetitChu1"
"1239603971280510978"	"JoeBoon33620544"
"864169919168040961"	"slsjake12"
"325825139"	"rnjane315"
"1267579542"	"bandhransome"
"1237540282935037952"	"MightyM90204620"
"3406606403"	"ChrisCmoon07"
"1211899922930229249"	"DavidMo85176905"
"904425554"	"SoxDiva12"
"733653218308329472"	"livefromFV"
"2814416554"	"ponytaila1a"
"296867794"	"413714"
"430736552"	"GeorgiaKubesh"
"4855980283"	"realMetalManic"
"938515255155597313"	"AngelaLauraLee1"
"1061798185100890112"	"BadassBass39"
"1247796506695892995"	"Michael08080729"
"1281559959457669122"	"americansghltd"
"801338071572738048"	"Wildflower737"
