"remaining_sg_ID"	"remaining_sg_UN"
"1248423191074275328"	"bic073"
"95096253"	"GodforTrump"
"1314046648889163781"	"AlexMAGA86"
"1234477362957430784"	"PeopleSpoken"
"1333462137281204225"	"RevealorConceal"
"194144672"	"wxws1997"
"223896073"	"LauraWilsonGal"
"985652986620899328"	"cherylabrady"
"1329860083480752132"	"GeorgeL38455833"
"1208109487917162496"	"jjfit6"
"1243405244555341825"	"GG23552801"
"1299331747830738947"	"CarolMckain"
"1221469351808774155"	"Linda96299808"
"1296641016817123328"	"MendeTraci"
"3600684013"	"threeg70"
"47925659"	"cliffsiders"
"801609172991311873"	"ko_conservative"
"1354377925"	"MeffordMichelle"
"2968763643"	"Ann1Weldon"
"850477472768561152"	"SusieTrumpster"
"1244107651241447426"	"ChuckMa10442409"
