"remaining_sg_ID"	"remaining_sg_UN"
"49850793"	"radmoan"
"1062145545521717248"	"Marie82337950"
"2308933604"	"SueIsrael"
"403909750"	"snochicktwit"
"1209585452"	"guineydj"
"1237832239636979720"	"2020HorrorStory"
"735772826066526211"	"twilgaming"
"23152865"	"saint82270"
"162487293"	"I_Am_Stefan"
"1120040544133111813"	"angeloffire9999"
"1189747911523012609"	"slimeproducer"
"1033260253"	"Cynthia_Mc98"
"170178673"	"lil__afrixa"
"2548771686"	"venusnipple"
"970464285917962240"	"astrologersix"
"1151998171960217605"	"TomWaffen"
"730004800042045440"	"MedPierre"
"1460035021"	"BryanVanNorden"
"1235107443828457473"	"PriscillaClin13"
"1231618181375987714"	"JoseSan19956730"
"35810556"	"Serf_"
"600776589"	"OrlandoJonS1"
"829116907613609984"	"ChoosingLife5"
"30461578"	"dawnofzeel"
"28093780"	"dkmcf"
"1064552964"	"Yima_Qwin"
"1146087712115580929"	"Birdlad88707626"
"826183795"	"MDaviot"
